Intramural_Field,Intramural_Field_to_Parking_Garage_1,Parking_Garage_1,North,197,1.4
Parking_Garage_1,Intramural_Field_to_Parking_Garage_1,Intramural_Field,South,197,1.4
Intramural_Field,Intramural_Field_to_Water_School,Water_School,Northwest,171,1.3
Water_School,Intramural_Field_to_Water_School,Intramural_Field,Southeast,171,1.3
Water_School,Water_School_to_Veterans_Pavilion,Veterans_Pavilion,Southwest,184,1.3
Veterans_Pavilion,Water_School_to_Veterans_Pavilion,Water_School,Northeast,184,1.3
Marieb_Hall,Marieb_Hall_to_Parking_Garage_4,Parking_Garage_4,Northwest,74,1.3
Parking_Garage_4,Marieb_Hall_to_Parking_Garage_4,Marieb_Hall,Southeast,74,1.3
Parking_Garage_4,Parking_Garage_4_to_Lutgert_Hall,Lutgert_Hall,South,126,1.4
Lutgert_Hall,Parking_Garage_4_to_Lutgert_Hall,Parking_Garage_4,North,126,1.4
Merwin_Hall,Merwin_Hall_to_Parking_Garage_3,Parking_Garage_3,North,259,1.3
Parking_Garage_3,Merwin_Hall_to_Parking_Garage_3,Merwin_Hall,South,259,1.3
Parking_Garage_3,Parking_Garage_3_to_Griffen_Hall,Griffen_Hall,South,249,1.3
Griffen_Hall,Parking_Garage_3_to_Griffen_Hall,Parking_Garage_3,North,249,1.3
Parking_Garage_3,Parking_Garage_3_to_McTarnaghan_Hall,McTarnaghan_Hall,Southeast,192,1.3
McTarnaghan_Hall,Parking_Garage_3_to_McTarnaghan_Hall,Parking_Garage_3,West,192,1.3
WGCU,WGCU_to_Parking_Garage_3,Parking_Garage_3,Northeast,202,1.4
Parking_Garage_3,WGCU_to_Parking_Garage_3,WGCU,Southwest,202,1.4
WGCU,WGCU_to_Edward_Hall,Edward_Hall,South,158,1.3
Edward_Hall,WGCU_to_Edward_Hall,WGCU,North,158,1.3
Parking_Garage_4,Parking_Garage_4_to_WGCU,WGCU,East,113,1.4
WGCU,Parking_Garage_4_to_WGCU,Parking_Garage_4,West,113,1.4
Arts_Complex,Arts_Complex_to_Intramural_Field,Intramural_Field,Northeast,397,1.4
Intramural_Field,Arts_Complex_to_Intramural_Field,Arts_Complex,Southwest,397,1.4
Student_Union,Student_Union_to_Parking_Garage_3,Parking_Garage_3,West,233,1.4
Parking_Garage_3,Student_Union_to_Parking_Garage_3,Student_Union,East,233,1.4
Lutgert_Hall,Lutgert_Hall_to_Entrepreneurship,Entrepreneurship,Southeast,193,1.3
Entrepreneurship,Lutgert_Hall_to_Entrepreneurship,Lutgert_Hall,Northwest,193,1.3
Campus_Support,Campus_Support_to_Parking_Garage_2,Parking_Garage_2,East,332,1.4
Parking_Garage_2,Campus_Support_to_Parking_Garage_2,Campus_Support,West,332,1.4
Entrepreneurship,Entrepreneurship_to_Counseling,Counseling,East,103,1.3
Counseling,Entrepreneurship_to_Counseling,Entrepreneurship,West,103,1.3
Seidler_Hall,Seidler_Hall_to_Counseling,Counseling,South,74,1.3
Counseling,Seidler_Hall_to_Counseling,Seidler_Hall,North,74,1.3
Counseling,Counseling_to_Whitaker_Hall,Whitaker_Hall,Northeast,89,1.3
Whitaker_Hall,Counseling_to_Whitaker_Hall,Counseling,Southwest,89,1.3
